label,manifest
مباراة نهائية - نادي الاتحاد الرياضي الادبي.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700072313/manifest
בל סהרוריה.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109393/manifest
נשף אמנותי התעמלותי לנער.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109402/manifest
נשף רקודים גדול,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109482/manifest
נשף רקודים גרנדיוזי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109506/manifest
תזמורת ג'ז - תלוה את הרקודים - בנשף הקיצי הגדול של המכבי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109533/manifest
נשף רקודים,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109543/manifest
נשף רקודים - השנתי המסורתי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109549/manifest
נשף רקודים,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109557/manifest
נשף רקודים גרנדיוזי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109558/manifest
נשף רקודים של העונה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109577/manifest
נשף אביבי גדול,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109579/manifest
תערוכת אמנות המזרח הרחוק.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109692/manifest
האמן העברי יוסף בודקו,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109694/manifest
ידי אדם,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109695/manifest
תערוכת ליטבינובסקי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700109696/manifest
יום החייל היהודי - אספת עם גדולה.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110029/manifest
אל הישוב!,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110039/manifest
הצגה לתלמידי בתי הספר - השקרן.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110360/manifest
נשף מסכות המסורתי של המכבי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110612/manifest
נשף המסכות המסורתי של המכבי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110661/manifest
הכונו! לנשף פורים של המכבי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110668/manifest
אגודת מכבי אבשלום פתח תקוה - נשף מסכות המסורתי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110676/manifest
מכבי-בר כוכבא - נשף חמץ,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110761/manifest
נשף רקודים לחברים ומוזמניהם,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110793/manifest
נשף רקודים לחברים ומוזמניהם,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110796/manifest
ביום א נפתחת ההרשמה לשעורי הערב לעברית.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110821/manifest
"מכבי אבשלום נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110924/manifest
הפועל חיפה נגד מכבי תל אביב - המשך האספה הכללית,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110943/manifest
"המעופפים עמן נגד מכבי ת""א.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110945/manifest
"חשמונאי ירושלים נגד מכבי ת""א - מפקד חגיגי",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110946/manifest
"התחרות גומלין - המעופפים עמן נגד מכבי ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110949/manifest
התחרות כדור רגל בין P. G. H ובין מכבי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110951/manifest
פעילות השבת - המעופפים עמן נגד מכבי תל אביב,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110952/manifest
התחרות בכדורגל - מכבי הגבור נגד מכבי תל אביב,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110953/manifest
חג המכבים - האל חוט נגד מכבי תל אביב,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110955/manifest
בריסטול ראוארס נגד מכבי חשמונאי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700110957/manifest
