label,manifest
"כתובה. ישראל. ד'תשפ""ד.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300590/manifest
"כתובה. צור, לבנון. ד'תשפ""ג.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH002545680/manifest
"כתובה. סטניסלב, אוקראינה. תרצ""ז.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300532/manifest
"כתובה. משהד, איראן. 1904.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300572/manifest
"כתובה. משהד, איראן. 1921.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301029/manifest
"כתובה. משהד, איראן. 1924.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300794/manifest
"כתובה (קטע). אל-טווילה, תימן. קפ""ט.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH002625820/manifest
"כתובה. סמורה, ספרד. ר""ז (?) - רמ""ז (?)",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300543/manifest
"כתובה. באיו סגורה, ספרד. רמ""-.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300537/manifest
"כתובה. קרמונה, איטליה. רע""א.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300926/manifest
"כתובה. פדובה, איטליה. שכ""ב.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300927/manifest
"כתובה. פורמיה, איטליה. שכ""א.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300847/manifest
"כתובה. אלמאורה, תימן. שנ""-.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300731/manifest
"כתובה. פדובה, איטליה. שנ""ב.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300127/manifest
"תנאים לנשואין (קטע). מאה י""ז-י""ט",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH002720357/manifest
"כתובה. פדובה, איטליה. שע""ז.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301073/manifest
"כתובה. מנטובה, איטליה. שע""ט.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300078/manifest
"כתובה. מודנה, איטליה. ש""ף.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300980/manifest
"כתובה. ונציה, איטליה. שפ""ג.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301066/manifest
"כתובה. אנקונה, איטליה. שפ""ג.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301021/manifest
"כתובה. ונציה, איטליה. שפ""ד.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300638/manifest
"כתובה. פדובה, איטליה. שצ""ב.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300132/manifest
"כתובה. פדובה, איטליה. שצ""ד.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300721/manifest
"כתובה. סלוניקי, יוון. שצ""ט.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300221/manifest
"כתובה. ונציה, איטליה. ת""ב.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301069/manifest
"כתובה. ונציה, איטליה. ת""י.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300622/manifest
"כתובה. סיינה, איטליה. ת""י.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH003496873/manifest
"כתובה. ליוורנו, איטליה. תט""ז",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300322/manifest
"כתובה. ונציה, איטליה. תכ""ו",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301067/manifest
"כתובה. עמראן, תימן. תכ""ו",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300735/manifest
"כתובה. רומא, איטליה. תכ""ט",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300587/manifest
"כתובה. הזם, תימן. ת""ל.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300736/manifest
"כתובה. קזאלה מונפרטו, איטליה. תל""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300052/manifest
"כתובה. ציטדלה, איטליה. תל""ג.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300060/manifest
"כתובה. קורפו, יוון. תל""ד.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH003256102/manifest
"כתובה. ונציה, איטליה. תל""ה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300626/manifest
"כתובה. פדובה, איטליה. תמ""א.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300722/manifest
"כתובה. ציטדלה, איטליה. תמ""א.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300059/manifest
"כתובה. צ'נטו, איטליה. תמ""א.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300643/manifest
"כתובה. ונציה, איטליה. תמ""ג",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300134/manifest
"כתובה. ורונה, איטליה. תמ""ה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300096/manifest
"כתובה. ליוורנו, איטליה. תמ""ה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300006/manifest
"כתובה. פדובה, איטליה. תמ""ו",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301068/manifest
"כתובה. אנקונה, איטליה. ת""ס.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000302837/manifest
"כתובה. רומא, איטליה. תס""-",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300966/manifest
"כתובה. תימן. תס""ב.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH004081836/manifest
"כתובה. פדובה, איטליה. תס""ג.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300611/manifest
"כתובה. ונציה, איטליה. תס""ז",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301082/manifest
"כתובה. האג, הולנד. תע""א.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300362/manifest
"כתובה. ליוורנו, איטליה. תע""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300619/manifest
"כתובה. פדובה, איטליה. תע""ב",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300128/manifest
"כתובה. אמסטרדם, הולנד. תע""ג.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300049/manifest
"כתובה. רומא, איטליה. תע""ה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301081/manifest
"כתובה. פררה, איטליה. תע""ה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300968/manifest
"כתובה. הילדסהיים, גרמניה. תע""ו.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300718/manifest
"כתובה. אלמאורה, תימן. תע""ח",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300730/manifest
"כתובה. פדובה, איטליה. תפ""ג",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300625/manifest
"כתובה. נוימגן-דרון, גרמניה. תפ""ג.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH003362737/manifest
"כתובה. רומא, איטליה. תפ""ד.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301047/manifest
"כתובה. רומא, איטליה. תפ""ה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301046/manifest
"כתובה. ונציה, איטליה. תפ""ו.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301094/manifest
"כתובה. אנקונה, איטליה. תפ""ח.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300388/manifest
"כתובה. סלוניקי, יוון. תפ""ט",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300581/manifest
"כתובה. בוצולו, איטליה. תצ""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300086/manifest
"כתובה. ונציה, איטליה. תצ""ב",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301109/manifest
"כתובה. לוגו, איטליה. תצ""ב",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300053/manifest
"כתובה. רומא, איטליה. תצ""ב",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301070/manifest
"כתובה. ציטדלה, איטליה. תצ""ד.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300644/manifest
"כתובה. רומא, איטליה. ת""ק",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301120/manifest
"כתובה. אוסטרהא, אוקראינה. ת""ק.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300840/manifest
"כתובה. היניג, צרפת. ת""ק.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH003502112/manifest
"כתובה. רומא, איטליה. ת""ק",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300548/manifest
"כתובה. בולצנו, איטליה. תק""ד",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301002/manifest
"כתובה. מנטובה, איטליה. תק""ד",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300087/manifest
"כתובה. ליוורנו, איטליה. תק""ה.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000302392/manifest
"כתובה. ורונה, איטליה. תק""ו",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300316/manifest
"כתובה. בורדו, צרפת. תק""ח.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300704/manifest
"כתובה. ברלין, גרמניה. תק""ח.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH003495500/manifest
"כתובה. פירנצה, איטליה. תק""ח.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301113/manifest
"כתובה. ונציה, איטליה. תק""י.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300133/manifest
"כתובה. ירושלים, ישראל. תק""י",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300879/manifest
"כתובה. פזרו, איטליה. תק""י.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300717/manifest
"כתובה. ליידן, הולנד. תקי""ג.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH002810160/manifest
"כתובה. פירנצה, איטליה. תקי""ד",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300073/manifest
"כתובה. רדאע, תימן. תקי""ד",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300774/manifest
"כתובה. רומא, איטליה. תקי""ד",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300639/manifest
"כתובה. שירשטיין, גרמניה. תקי""ג.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301719/manifest
"כתובה. ונציה, איטליה. תקי""ד",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300050/manifest
"כתובה. פדובה, איטליה. תקט""ו",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301072/manifest
"כתובה. רומא, איטליה. תקי""ד.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300045/manifest
"כתובה. ונציה, איטליה. תקט""ז",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300610/manifest
"כתובה. פדובה, איטליה. תקט""ו",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300723/manifest
"כתובה. פזרו, איטליה. תקט""ז.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300734/manifest
"כתובה. ורונה, איטליה. תקי""ז",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300104/manifest
"כתובה. קצבת צלימה, תימן. תקי""ז.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300909/manifest
"כתובה. רדאע, תימן. תקי""ז",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300773/manifest
"כתובה. ורונה, איטליה. תקי""ט",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301001/manifest
"כתובה. ונציה, איטליה. תקי""ח.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300135/manifest
"כתובה. פדובה, איטליה. תקי""ט",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300724/manifest
"כתובה. רומא, איטליה. תקכ""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301049/manifest
"כתובה. פררה, איטליה. תקכ""א.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300106/manifest
"כתובה. פומפונסקו, איטליה. תקכ""ד",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300075/manifest
"כתובה. פירנצה, איטליה. תקכ""ד",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301112/manifest
"כתובה. אנקונה, איטליה. תקכ""ה.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300776/manifest
"כתובה. האג, הולנד. תקכ""ו",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000300995/manifest
"כתובה. רומא, איטליה. תקכ""ו.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301048/manifest
"כתובה. רומא, איטליה. תקכ""ז",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ALEPH000301050/manifest
