label,manifest
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003426736/manifest
Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003592242/manifest
Carlo Naya Views of Italy Album [Album of photographs].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003592251/manifest
תמונות המומרים בירושלם הנזכרים בספר מלחמת היהודים במיסיון [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003428922/manifest
אלבום משפחת שאמס [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429188/manifest
אלבום תצלומי ירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003427175/manifest
אלבום ימימה ליובין-בלקינד [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003836363/manifest
אלבום משפחה יהודית מאוסטרו-הונגריה [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003430167/manifest
אלבום נופי אוסטריה [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003592227/manifest
אלבום יוליוס לנשטיין [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003861802/manifest
אלבומי ביקור הקיסר וילהלם השני בארץ הקודש [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003426596/manifest
אלבומי ביקור הקיסר וילהלם השני בארץ הקודש [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003426637/manifest
אלבומי ביקור הקיסר וילהלם השני בארץ הקודש [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003426638/manifest
אלבומי ביקור הקיסר וילהלם השני בארץ הקודש [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003426639/manifest
אלבום משפחת נירנשטיין [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429269/manifest
אלבום משפחת נירנשטיין [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429270/manifest
אלבום משפחת נירנשטיין [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429271/manifest
אלבום משפחת נירנשטיין [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429432/manifest
אלבום משפחת נירנשטיין [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429449/manifest
אלבום משפחת נירנשטיין [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003431345/manifest
<<ה>>טבח בביליסטוק [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003777554/manifest
מסע השאה הפרסי בצפון מערב איראן [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003473872/manifest
Prag [Album of photographs].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003579158/manifest
אלבום נורמן בנטויץ' [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003428696/manifest
תמונות מיהודה וירושלם [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003426888/manifest
פטרה - תצלומי המושבה האמריקאית [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003600521/manifest
אלבום תחנת הנסיונות בעתלית [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003427003/manifest
"הגמנסיה העברית ""הרצליה"" - יפו [אלבום תצלומים].",http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003427178/manifest
דיוקנאות סופרים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003431247/manifest
אלבום משפחת נירנשטיין [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429411/manifest
ארץ ישראל במלחמת העולם הראשונה [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003486570/manifest
Photographs from Palestine Taken by A British Soldier During WWI [Album of photographs].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003534687/manifest
ארץ ישראל בסוף מלחמת העולם הראשונה [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003427659/manifest
פרעות ביהודי חודורקוב [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003777706/manifest
פרעות ביהודי תיאופיפול [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003777717/manifest
תצלומי סטודנטית מארץ ישראל ומצרפת [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003474126/manifest
לווית המופתי של ירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003473795/manifest
אלבום הטכניון העברי בחיפה [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003428387/manifest
"Near East Exhibition and Fair in Tel Aviv, 1925 [Album of photographs].",http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003619667/manifest
<<ה>>אוניברסיתה [!] העברית בירושלם [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003567658/manifest
אלבום חפירות החומה השלישית [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003427813/manifest
אלבום כנרת [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003430743/manifest
אלבום פריץ אפשטין: תל אביב 1923 [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003619668/manifest
חפירות שיך אבריק - בית שערים: עונה שלישית [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003624805/manifest
קרן קימת לישראל [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003428572/manifest
"תצלומי ארץ ישראל מאת ש""י שויג [אלבום תצלומים].",http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003901087/manifest
אלבום יוחנן בן דוד [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003588119/manifest
"הכשרת מפרץ חיפה בע""מ, חיפה, ארץ ישראל [אלבום תצלומים].",http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003426875/manifest
"אסף צלומים מן הרעש בארץ ישראל בשנת תרפ""ז [אלבום תצלומים].",http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003427883/manifest
"אסף צלומים מן הרעש בארץ ישראל בשנת תרפ""ז [אלבום תצלומים].",http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003427954/manifest
תצלומי האוניברסיטה העברית מאת הלמר לרסקי [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003849642/manifest
"מפעלי תרבות בחנכה תרצ""ג : תערוכה עברית [אלבום תצלומים].",http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003489984/manifest
חדרי ביתו של מקס איטינגון בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003490185/manifest
בית הספר של החברה החינוכית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003924191/manifest
תצלומים מחיי השומרונים בשכם [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003786689/manifest
"בית ספר למלאכה על שם לודויג טיץ, יגור [אלבום תצלומים].",http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003427410/manifest
<<ה>>מעבדות לחקר הסרטן באוניברסיטה העברית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003567711/manifest
דגם הר הזיתים 1936 [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429060/manifest
אלבום רוג'ר ו. שטרויס - קרן היסוד.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003428523/manifest
עבודת הקרן הקימת בתמונות [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003428553/manifest
"שכון - חברה לשכונות העובדים בע""מ [אלבום תצלומים].",http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003430600/manifest
Bilder aus Ben Schemen für Martin Buber von der Jüdische Waisenhilfe [Album of photographs].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003535703/manifest
אלבום שלמה זלמן שוקן [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003752856/manifest
אלבום שלמה זלמן שוקן [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003752880/manifest
אלבום שלמה זלמן שוקן [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003752972/manifest
"מלון קליה, ים המלח [אלבום תצלומים].",http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003428852/manifest
"אלבום תצלומי חוג ""יבנה"", ירושלים [אלבום תצלומים].",http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003426950/manifest
ניסויים בזני חיטה [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003863492/manifest
"טקס הנחת אבן הפנה למפעל מבשלות שכר לאומיות בישראל, נתניה. [אלבום תצלומים].",http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003777859/manifest
מבצע סיני [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003430865/manifest
אלבום משפחת ברטורא [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429639/manifest
אלבום משפחת ברטורא [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429678/manifest
אלבום משפחת ברטורא [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429679/manifest
אלבום משפחת ברטורא [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003567703/manifest
אלבום עלית הנוער [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003430705/manifest
אלבום משפחת ברטורא [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429632/manifest
אלבום משפחת ברטורא [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429638/manifest
אלבום החברה הכלכלית לירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003431365/manifest
