label,manifest
אלבום 1: אלבום בונפיס.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002682048/manifest
אלבום 2: אלבום בית המצורעים.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002682070/manifest
אלבום 3: אלבום ארץ ישראל ודמשק 1911.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002682084/manifest
"אלבום 4: אלבום תשלילי חליל ראאד, 1912.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683538/manifest
אלבום 5: אלבום תצלומי נהרים.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683558/manifest
"אלבום 6: אלבום פיורילו, 40 תצלומים.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683564/manifest
אלבום 7: אלבום בונפיס וזנגקי.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683605/manifest
אלבום 8: אלבום המסע לארץ ישראל ומצרים 1930.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683614/manifest
אלבום 9: בונפיס - ארץ ישראל.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683645/manifest
אלבום 11: אלבום קריקוריאן - הלפרן של בקור וילהלם השני.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683650/manifest
אלבום 12: אלבום בורשטין - לאו קהן.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683826/manifest
אלבום 13: אלבום בורשטין - רסקין.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683884/manifest
אלבום 14: אלבום פיורילו.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683905/manifest
אלבום 15: אלבום פרסות הסוסים.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683908/manifest
אלבום 16: אלבום תצלומי פיורילו קטנים.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683911/manifest
אלבום 17: אלבום תצלומי סקוליק מ-1894.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683920/manifest
אלבום 18: אלבום העצירה בדרך בין יפו לירושלים.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683924/manifest
אלבום 19: אלבום משפחת יוליוס ברגר.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683925/manifest
