description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
"משחקי גמר, כדורגל, ספורט; חיפא",مباراة نهائية - نادي الاتحاد الرياضي الادبي.,مباراة نهائية - نادي الاتحاد الرياضي الادبي.,[חסר מוציא לאור],NNL03,,1934,sheet,כולל ציור.,ara;eng,700072313,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700072313,[null],"[""משחקי גמר, כדורגל, ספורט; חיפא""]",[null]
Entertainment events -- Israel; Parties -- Israel; Lotteries$zIsrael; Saharuria Ball; מופע בידור; ערב התרמה; נשף; הגרלה; Fundraiser; תל אביב,בל סהרוריה.,בל סהרוריה.,[חסר מוציא לאור],NNL03,,1933,sheet,כולל ציור.,heb;eng,700109393,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109393,[null],"[""Entertainment events -- Israel; Parties -- Israel; Lotteries$zIsrael; Saharuria Ball; מופע בידור; ערב התרמה; נשף; הגרלה; Fundraiser; תל אביב""]",[null]
"Entertainment events -- Israel; Songs -- Israel; Parties -- Israel; Sports -- Israel; חנה'לה מאירצק, מ. סמבורסקי, י. כצנלסון, יקיר וינשטין; מופע בידור; ערב שירה; הצגה; נשף; ספורט; Show; תל אביב",נשף אמנותי התעמלותי לנער.,נשף אמנותי התעמלותי לנער.,מכבי,NNL03,,1934,sheet,,heb,700109402,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109402,[null],"[""Entertainment events -- Israel; Songs -- Israel; Parties -- Israel; Sports -- Israel; חנה'לה מאירצק, מ. סמבורסקי, י. כצנלסון, יקיר וינשטין; מופע בידור; ערב שירה; הצגה; נשף; ספורט; Show; תל אביב""]",[null]
Orchestra -- Israel; Music -- Performance -- Israel; Israel -- Civilization; אירוע; תרבות; תזמורת; ערב ריקודים; Event; Evening of dancing; פתח תקווה,נשף רקודים גדול,נשף רקודים גדול,"מועדון ""מכבי אבשלום""",NNL03,,1930,sheet,,heb,700109482,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109482,[null],"[""Orchestra -- Israel; Music -- Performance -- Israel; Israel -- Civilization; אירוע; תרבות; תזמורת; ערב ריקודים; Event; Evening of dancing; פתח תקווה""]",[null]
Orchestra -- Israel; Music -- Performance -- Israel; Israel -- Civilization; Dancing Ball; תזמורת; נשף ריקודים; תרבות; Ball,נשף רקודים גרנדיוזי,נשף רקודים גרנדיוזי,מכבי,NNL03,,1931,sheet,,heb;eng,700109506,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109506,[null],"[""Orchestra -- Israel; Music -- Performance -- Israel; Israel -- Civilization; Dancing Ball; תזמורת; נשף ריקודים; תרבות; Ball""]",[null]
Orchestra -- Israel; Music -- Performance -- Israel; Jazz -- Israel; Sports -- Israel; בן שפר; תזמורת; נשף ריקודים; מוסיקת ג'ז; ספורט; מכירת כרטיסים; Ball; Tickets Sale,תזמורת ג'ז - תלוה את הרקודים - בנשף הקיצי הגדול של המכבי,תזמורת ג'ז - תלוה את הרקודים - בנשף הקיצי הגדול של המכבי,מכבי,NNL03,,1932,sheet,,heb,700109533,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109533,[null],"[""Orchestra -- Israel; Music -- Performance -- Israel; Jazz -- Israel; Sports -- Israel; בן שפר; תזמורת; נשף ריקודים; מוסיקת ג'ז; ספורט; מכירת כרטיסים; Ball; Tickets Sale""]",[null]
Orchestra -- Israel; Music -- Performance -- Israel; Israel -- Civilization; תזמורת; נשף ריקודים; תרבות; Ball; תל אביב,נשף רקודים,נשף רקודים,מכבי,NNL03,,1933,sheet,,heb,700109543,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109543,[null],"[""Orchestra -- Israel; Music -- Performance -- Israel; Israel -- Civilization; תזמורת; נשף ריקודים; תרבות; Ball; תל אביב""]",[null]
Orchestra -- Israel; Music -- Performance -- Israel; Israel -- Civilization; THE ANNUAL GRAND BALL; תזמורת; נשף ריקודים; תרבות; Ball; רחובות,נשף רקודים - השנתי המסורתי,נשף רקודים - השנתי המסורתי,מועדון הטניס מכבי רחובות,NNL03,,1933,sheet,,heb;eng,700109549,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109549,[null],"[""Orchestra -- Israel; Music -- Performance -- Israel; Israel -- Civilization; THE ANNUAL GRAND BALL; תזמורת; נשף ריקודים; תרבות; Ball; רחובות""]",[null]
Orchestra -- Israel; Music -- Performance -- Israel; Dance -- Israel; Israel -- Civilization; תזמורת; ריקודים; תרבות; אספה כללית; General meeting; תל אביב,נשף רקודים,נשף רקודים,מכבי,NNL03,,1933,sheet,,heb,700109557,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109557,[null],"[""Orchestra -- Israel; Music -- Performance -- Israel; Dance -- Israel; Israel -- Civilization; תזמורת; ריקודים; תרבות; אספה כללית; General meeting; תל אביב""]",[null]
Orchestra -- Israel; Music -- Performance -- Israel; Israel -- Civilization; תזמורת; נשף ריקודים; תרבות; הגרלו7ת; Ball; תל אביב,נשף רקודים גרנדיוזי,נשף רקודים גרנדיוזי,מכבי,NNL03,,1933,sheet,,heb,700109558,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109558,[null],"[""Orchestra -- Israel; Music -- Performance -- Israel; Israel -- Civilization; תזמורת; נשף ריקודים; תרבות; הגרלו7ת; Ball; תל אביב""]",[null]
Orchestra -- Israel; Music -- Performance -- Israel; Parties -- Israel; Dance -- Israel; The Dance of The Season; תזמורת; נשף; ריקודים; חיפה,נשף רקודים של העונה,נשף רקודים של העונה,גדוד מכבי אש מתנדבים חיפה,NNL03,,1934,sheet,,heb;eng,700109577,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109577,[null],"[""Orchestra -- Israel; Music -- Performance -- Israel; Parties -- Israel; Dance -- Israel; The Dance of The Season; תזמורת; נשף; ריקודים; חיפה""]",[null]
Entertainment events -- Israel; Orchestra -- Israel; Music -- Performance -- Israel; Parties -- Israel; Dance -- Israel; מופע בידור; תזמורת; נשף; ריקודים; פתח תקוה,נשף אביבי גדול,נשף אביבי גדול,מועדון הטניס מכבי אבשלום פתח תקוה,NNL03,,1934,sheet,,heb,700109579,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109579,[null],"[""Entertainment events -- Israel; Orchestra -- Israel; Music -- Performance -- Israel; Parties -- Israel; Dance -- Israel; מופע בידור; תזמורת; נשף; ריקודים; פתח תקוה""]",[null]
Exhibitions -- Israel; Art -- Israel; The Bezalel Exhibition of far Estern Art; תערוכה; אמנות,תערוכת אמנות המזרח הרחוק.,תערוכת אמנות המזרח הרחוק.,בית הנכות הלאומי בצלאל,NNL03,,1940,sheet,כולל איור.,heb;eng,700109692,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109692,[null],"[""Exhibitions -- Israel; Art -- Israel; The Bezalel Exhibition of far Estern Art; תערוכה; אמנות""]",[null]
"Exhibitions -- Israel; Lectures and lecturing -- Israel; ג. לנדאויר (ד""ר), יוסף בודקו; תערוכה; הרצאה",האמן העברי יוסף בודקו,האמן העברי יוסף בודקו,בית הנכות הלאומי בצלאל,NNL03,,1940,sheet,,heb,700109694,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109694,[null],"[""Exhibitions -- Israel; Lectures and lecturing -- Israel; ג. לנדאויר (ד\""ר), יוסף בודקו; תערוכה; הרצאה""]",[null]
"Exhibitions -- Israel; הלמר לרסקי, וסילי קנדינסקי; Human Hands; תערוכה",ידי אדם,ידי אדם,בית הנכות הלאומי בצלאל,NNL03,,1945,sheet,,heb;eng,700109695,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109695,[null],"[""Exhibitions -- Israel; הלמר לרסקי, וסילי קנדינסקי; Human Hands; תערוכה""]",[null]
Exhibitions -- Israel; LItvinovsky Exhibiton; תערוכה,תערוכת ליטבינובסקי,תערוכת ליטבינובסקי,בית הנכות הלאומי בצלאל,NNL03,,1945,sheet,,heb;eng,700109696,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700109696,[null],"[""Exhibitions -- Israel; LItvinovsky Exhibiton; תערוכה""]",[null]
"Nationalism and collective memory -- Israel; Nationalism -- Israel; Memorials -- Israel; משה שרתוק, א. אלטמן (ד""ר), א. בארט (ד""ר); חברה; לאומיות; צבא; אסיפת עם; Company",יום החייל היהודי - אספת עם גדולה.,יום החייל היהודי - אספת עם גדולה.,הועד הארצי למען החייל היהודי,NNL03,,1941,sheet,כולל איור.,heb,700110029,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700110029,[null],"[""Nationalism and collective memory -- Israel; Nationalism -- Israel; Memorials -- Israel; משה שרתוק, א. אלטמן (ד\""ר), א. בארט (ד\""ר); חברה; לאומיות; צבא; אסיפת עם; Company""]",[null]
"Yom ha-zikaron; Peace-building -- Israel; Security, International -- Middle East; Nationalism and collective memory -- Israel; Nationalism -- Israel; Recruiting and enlistment -- Israel; Recruiting and enlistment -- Israel; שלום ובטחון; חברה; לאומיות; צבא; צו; גיוס; Company",אל הישוב!,אל הישוב!,הסוכנות היהודית,NNL03,,1942,sheet,כולל איור.,heb,700110039,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700110039,[null],"[""Yom ha-zikaron; Peace-building -- Israel; Security, International -- Middle East; Nationalism and collective memory -- Israel; Nationalism -- Israel; Recruiting and enlistment -- Israel; Recruiting and enlistment -- Israel; שלום ובטחון; חברה; לאומיות; צבא; צו; גיוס; Company""]",[null]
"Dance -- Israel; טיץ, גולדשמידט, רטנר, מ. שפייכר, ב. צפורי; הצגה; ריקודים; Show; חיפה",הצגה לתלמידי בתי הספר - השקרן.,הצגה לתלמידי בתי הספר - השקרן.,מכבי,NNL03,,1934,sheet,,heb,700110360,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700110360,[null],"[""Dance -- Israel; טיץ, גולדשמידט, רטנר, מ. שפייכר, ב. צפורי; הצגה; ריקודים; Show; חיפה""]",[null]
Masquerades -- Israel; Israel -- Civilization; נשף מסיכות; תרבות; מכבי; Maccabi,נשף מסכות המסורתי של המכבי,נשף מסכות המסורתי של המכבי,מכבי,NNL03,,1929,sheet,,heb,700110612,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700110612,[null],"[""Masquerades -- Israel; Israel -- Civilization; נשף מסיכות; תרבות; מכבי; Maccabi""]",[null]
Purim; Fasts and feasts -- Israel; Masquerades -- Israel; Orchestra -- Israel; Music -- Performance -- Israel; Awards -- Israel; פורים; נשף מסיכות; תזמורת; אולם וגנר; פרסים; But Wagner; חיפה,נשף המסכות המסורתי של המכבי,נשף המסכות המסורתי של המכבי,מכבי,NNL03,,1929,sheet,,heb,700110661,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700110661,[null],"[""Purim; Fasts and feasts -- Israel; Masquerades -- Israel; Orchestra -- Israel; Music -- Performance -- Israel; Awards -- Israel; פורים; נשף מסיכות; תזמורת; אולם וגנר; פרסים; But Wagner; חיפה""]",[null]
Purim; Fasts and feasts -- Israel; פורים,הכונו! לנשף פורים של המכבי,הכונו! לנשף פורים של המכבי,מכבי,NNL03,,1929,sheet,,heb,700110668,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_Ephemera700110668,[null],"[""Purim; Fasts and feasts -- Israel; פורים""]",[null]
