description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
,"כתובה. ישראל. ד'תשפ""ד.","כתובה. ישראל. ד'תשפ""ד.",ישראל,NNL01,,"יב בכסלו ד'תשפ""ד (1023)",manuscript,"1 דף ; 340X190 מ""מ..; קלף.",heb,000300590,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300590,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Israel. 1023""]"
,"כתובה. צור, לבנון. ד'תשפ""ג.","כתובה. צור, לבנון. ד'תשפ""ג.",צור,NNL01,,"ד'תשפ""ג (1023)",manuscript,"דף 1 ; 16X19 ס""מ..; 47 שורות קרוע מעט (חסר חלק מהתאריך והחתימות).",heb;arc,002545680,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH002545680,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Tyre, Lebanon. 1023""]"
,"כתובה. סטניסלב, אוקראינה. תרצ""ז.","כתובה. סטניסלב, אוקראינה. תרצ""ז.",סטאניסלאב,NNL01,,"כה בטבת תרצ""ז (1937)",manuscript,"1 דף ; 290X202 מ""מ..; נייר.",heb,000300532,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300532,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Stanislav, Ukraine. 1937""]"
Crypto-Jews -- Iran,"כתובה. משהד, איראן. 1904.","כתובה. משהד, איראן. 1904.",משהד,NNL01,,דו אלחג'ה אלף שלוש מאות עשרים ואחת להיג'רה (1904),manuscript,"4 דפים ; 238X155 מ""מ..; נייר.",heb,000300572,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300572,"[""מאוסף הספרייה הלאומית""]","[""Crypto-Jews -- Iran""]","[""Ketubbah. Mashhad, Iran. 1904""]"
Crypto-Jews -- Iran,"כתובה. משהד, איראן. 1921.","כתובה. משהד, איראן. 1921.",משהד,NNL01,,ב שעבאן אלף שלוש מאות שלושים ותשע להיג'רה (1921),manuscript,"4 דף ; 217X135 מ""מ..; נייר.",heb,000301029,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000301029,"[""מאוסף הספרייה הלאומית""]","[""Crypto-Jews -- Iran""]","[""Ketubbah. Mashhad, Iran. 1921""]"
Crypto-Jews -- Iran,"כתובה. משהד, איראן. 1924.","כתובה. משהד, איראן. 1924.",משהד,NNL01,,כח רג'ב אלף שלוש מאות ארבעים ושתיים להיג'רה (1924),manuscript,"4 דפים ; 227X135 מ""מ..; נייר.",heb,000300794,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300794,"[""מאוסף הספרייה הלאומית""]","[""Crypto-Jews -- Iran""]","[""Ketubbah. Mashhad, Iran. 1924""]"
,"כתובה (קטע). אל-טווילה, תימן. קפ""ט.","כתובה (קטע). אל-טווילה, תימן. קפ""ט.",אלטווילה,NNL01,,"קפ""ט (1429)",manuscript,"קטע נייר קטן, בשני קרעים סמוכים. שרד רק ראש המסמך, כותרת ו-4 שורות העליונות. בשטח הריק של הגליון העליון, ובצד ב' הריק, כתיב משנית כתנה יותר, שנכתב אחרי שנחתך הנייר לגודל הנוכחי. שרדו ממנו 16 שורות בצד ב'..",heb;jrb,002625820,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH002625820,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Al-Tawila, Yemen. 1429""]"
,"כתובה. סמורה, ספרד. ר""ז (?) - רמ""ז (?)","כתובה. סמורה, ספרד. ר""ז (?) - רמ""ז (?)",סמורה,NNL01,,"ד בטבת ר""ז (?) - רמ""ז",manuscript,"1 דף ; 350X430 מ""מ..; קלף.",heb,000300543,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300543,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Zamora, Spain. 1447(?)-1487(?)""]"
,"כתובה. באיו סגורה, ספרד. רמ""-.","כתובה. באיו סגורה, ספרד. רמ""-.",שיגורה,NNL01,,"רמ"" (1480)",manuscript,"1 דף ; 192X135 מ""מ..; קלף.",heb,000300537,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300537,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Segura, Spain. 148-""]"
,"כתובה. קרמונה, איטליה. רע""א.","כתובה. קרמונה, איטליה. רע""א.",קרימונה,NNL01,,"ל באדר א רע""א (1511)",manuscript,"1 דף ; 402X338 מ""מ..; קלף.",heb,000300926,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000300926,"[""מאוסף הספרייה הלאומית""]",[null],"[""Ketubbah. Cremona, Italy. 1511""]"
