description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
Cabala,ספר הכונות.,ספר הכונות.,,NNL01,"ויטל, חיים בן יוסף, 1542-1620","תקנ""ה (1795)",manuscript,"109 דף ; 19X26 ס""מ..",heb,000040001,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040001,"[""מאוסף הספרייה הלאומית""]","[""Cabala""]",[null]
Cabala,עץ חיים.,עץ חיים.,,NNL01,"ויטל, חיים בן יוסף, 1542-1620","מאה י""ח",manuscript,"201 דף ; 19.5X31 ס""מ..",heb,000040003,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040003,"[""מאוסף הספרייה הלאומית""]","[""Cabala""]",[null]
Jews -- Belarus -- Minsk -- History -- Sources; Society records (Manuscript),"פנקס חברת תלמוד תורה בקהלת מינסק : משנת תקס""ו-תרכ""א.","פנקס חברת תלמוד תורה בקהלת מינסק : משנת תקס""ו-תרכ""א.",,NNL01,חברת תלמוד תורה (מינסק),"תקס""ו-תרכ""א (1806-1861)",manuscript,"101 דף ; 22X33 ס""מ.",heb,000040004,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040004,"[""מאוסף הספרייה הלאומית""]","[""Jews -- Belarus -- Minsk -- History -- Sources; Society records (Manuscript)""]",[null]
Jews -- Poland -- Wegrow -- History -- Sources,"פנקס בית דין בקהלת ווענגראב : משנת תקמ""ב-תקס""ד.","פנקס בית דין בקהלת ווענגראב : משנת תקמ""ב-תקס""ד.",,NNL01,,"תקמ""ב-תקס""ד (1782-1804)",manuscript,"128 דף ; 21X33 ס""מ..",heb,000040005,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040005,"[""מאוסף הספרייה הלאומית""]","[""Jews -- Poland -- Wegrow -- History -- Sources""]",[null]
,קובץ בקבלה ובהלכה.,קובץ בקבלה ובהלכה.,,NNL01,,"מאה י""ז-י""ח",manuscript,54 דף..; בכתיבות שונות.; דפים בגדלים שונים..,heb,000040006,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040006,"[""מאוסף הספרייה הלאומית""]",[null],[null]
,אור יקר : שער ארבעה עשר מהספר אור יקר.,אור יקר : שער ארבעה עשר מהספר אור יקר.,,NNL01,"קורדוברו, משה, 1522-1570","סוף המאה הט""ז",manuscript,"45 דף ; 20X29 ס""מ.",heb,000040010,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040010,"[""מאוסף הספרייה הלאומית""]",[null],[null]
,"פנקס טפסי שטרות : רוב הטפסים הם העתקים משטרות שנעשו במיץ תקכ""ב-תקכ""ט, ופרנקפורט רצ""ז-שמ""ט, תק""ה-תקט""ז.","פנקס טפסי שטרות : רוב הטפסים הם העתקים משטרות שנעשו במיץ תקכ""ב-תקכ""ט, ופרנקפורט רצ""ז-שמ""ט, תק""ה-תקט""ז.",,NNL01,,"תק""מ (1780) בערך",manuscript,"58 דף ; 18.5X23 ס""מ..",heb,000040014,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040014,"[""מאוסף הספרייה הלאומית""]",[null],[null]
Cabala; Aggada -- Commentaries; Talmud Bavli. Yevamot -- Commentaries; Mishnah. Avot -- Commentaries,זרע יצחק.,זרע יצחק.,,NNL01,,"מאה י""ח",manuscript,"257 דף ; 16X19 ס""מ..",heb,000040017,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040017,"[""מאוסף הספרייה הלאומית""]","[""Cabala; Aggada -- Commentaries; Talmud Bavli. Yevamot -- Commentaries; Mishnah. Avot -- Commentaries""]",[null]
Jewish law; Judaism -- Liturgy -- Texts,בשמים ראש.,בשמים ראש.,,NNL01,חנוך זונדל בן יוסף,"ת""ר (1840) בערך",manuscript,"194 דף (דפים 191-194 נתונים במעטפה שבסוף כה""י. והם ממהדורה אחרת מאותו חיבור) ; 18.5X23 ס""מ..",heb,000040018,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040018,"[""מאוסף הספרייה הלאומית""]","[""Jewish law; Judaism -- Liturgy -- Texts""]",[null]
Jewish law; Phlebotomy; Talmud Bavli -- Commentaries,חדושים על התלמוד.,חדושים על התלמוד.,,NNL01,"קצנלנבוגן, זכריה מנדל בן דוד טבלי, מליסא","תקמ""ז-תקמ""ט (1787-1789)",manuscript,"76 דף ; 16X20 ס""מ..",heb,000040019,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040019,"[""מאוסף הספרייה הלאומית""]","[""Jewish law; Phlebotomy; Talmud Bavli -- Commentaries""]",[null]
Talmud Bavli. Yevamot -- Commentaries,קרן אורה.,קרן אורה.,,NNL01,"יצחק בן אהרן, מקרלין","תר""י (1850) בערך",manuscript,"8 דפים (לא רצופים) ; 23X38 ס""מ..",heb,000040021,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040021,"[""מאוסף הספרייה הלאומית""]","[""Talmud Bavli. Yevamot -- Commentaries""]",[null]
וול (משפחה); Jewish law; Astronomy -- Early works to 1800,צרור החיים.,צרור החיים.,,NNL01,"וול, שמואל בן יעקב משה שאול","תר""י (1850) בערך",manuscript,"103 דף ; 12X19 ס""מ.",heb,000040022,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040022,"[""מאוסף הספרייה הלאומית""]","[""וול (משפחה); Jewish law; Astronomy -- Early works to 1800""]",[null]
"Jewish sermons, Hebrew; Jewish law; Talmud Bavli -- Commentaries","חדושי ש""ס, הלכה ואגדה.","חדושי ש""ס, הלכה ואגדה.",,NNL01,,"מאה י""ח",manuscript,"72 דף ; 18X21 ס""מ.",heb,000040025,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040025,"[""מאוסף הספרייה הלאומית""]","[""Jewish sermons, Hebrew; Jewish law; Talmud Bavli -- Commentaries""]",[null]
Jewish law; Jews -- Music; Judaism -- Liturgy -- Texts,מנהגי תפלה ונעימות החזנים.,מנהגי תפלה ונעימות החזנים.,,NNL01,"טריסטה, משה אריה בן יעקב","תקס""ג (1803)",manuscript,"191 דף (דפים 70-73, 110-111 הנם תוספת מאוחרת) ; 16X21 ס""מ..",heb,000040026,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040026,"[""מאוסף הספרייה הלאומית""]","[""Jewish law; Jews -- Music; Judaism -- Liturgy -- Texts""]",[null]
Judaism -- Liturgy -- Texts; Jews -- Italy -- Verona -- History -- Sources,קונטרסי בית כנסת של קהילת האשכנזים בווירונה.,קונטרסי בית כנסת של קהילת האשכנזים בווירונה.,,NNL01,,"מאה י""ח",manuscript,"9 דפים ; 17.5X23 ס""מ..",heb,000040027,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040027,"[""מאוסף הספרייה הלאומית""]","[""Judaism -- Liturgy -- Texts; Jews -- Italy -- Verona -- History -- Sources""]",[null]
Jews -- Germany -- Deutz -- History -- Sources; Ḥevra kaddisha -- Germany -- Deutz,סליחות לחברה קדישא.,סליחות לחברה קדישא.,,NNL01,,"תק""ל (1770)",manuscript,"14 דף ; 8.5X14.5 ס""מ..; דפים 3-12 קלף.",heb,000040030,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040030,"[""מאוסף הספרייה הלאומית""]","[""Jews -- Germany -- Deutz -- History -- Sources; Ḥevra kaddisha -- Germany -- Deutz""]","[""סליחות.""]"
Jews -- Germany -- Berlin -- History -- Sources,פנקס קהילת ברלין.,פנקס קהילת ברלין.,,NNL01,,1850 בערך,manuscript,"17-206 עמ' ; 16.5X20 ס""מ..",heb,000040031,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040031,"[""מאוסף הספרייה הלאומית""]","[""Jews -- Germany -- Berlin -- History -- Sources""]",[null]
"הורוויץ, שבתי בן ישעיה; אשכנזי, יוסף; Jewish sermons, Hebrew; Midrash -- Commentaries",חדושי אגדה ודרשות.,חדושי אגדה ודרשות.,,NNL01,ייטלש (מחבר משוער),"שנ""א(43א)-תי""א (96א) (1591-1651)",manuscript,"174 דף (בספירה המקורית חסרים הדפים: י, כח, קכג-קמא, קסט-קעח - כנראה בשגגת המספרר) ; 11X16.5 ס""מ..; מידים שונות.",heb,000040033,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040033,"[""מאוסף הספרייה הלאומית""]","[""הורוויץ, שבתי בן ישעיה; אשכנזי, יוסף; Jewish sermons, Hebrew; Midrash -- Commentaries""]",[null]
Jewish law; Mishnah -- Commentaries,הרועים בשושנים.,הרועים בשושנים.,,NNL01,"ברודא, צבי הירש בן דוד","תק""ס (?) 1800",manuscript,"225 דף ; 20X26 ס""מ.",heb,000040034,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040034,"[""מאוסף הספרייה הלאומית""]","[""Jewish law; Mishnah -- Commentaries""]",[null]
Jewish law,"שאילתות אבי""ה.","שאילתות אבי""ה.",,NNL01,"קרפונקל, אהרן בן יהודה ליב, -1816","תק""ס (?) 1800",manuscript,"[4]+124 דף ; 17X21 ס""מ.",heb,000040035,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040035,"[""מאוסף הספרייה הלאומית""]","[""Jewish law""]",[null]
Jewish law,ספר מחכים.,ספר מחכים.,,NNL01,נתן בן יהודה,"תר""ג (1843)",manuscript,"41 עמ' ; 17X21 ס""מ.",heb,000040036,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040036,"[""מאוסף הספרייה הלאומית""]","[""Jewish law""]",[null]
"אבן תבון, שמואל בן יהודה, 1150-1230. מאמר השכל; קצנלנבוגן (משפחה); יהודה ליואי בן בצלאל, 1525 בערך-1609; Philosophy -- Early works to 1800; Jews -- Czech Republic -- Mikulov (Jihomoravský kraj) -- History",מאמר השכל.,מאמר השכל.,,NNL01,"אבן תבון, שמואל בן יהודה, 1150-1230","תרי""א (בוסקוביץ) - תרי""ט (הוצנפלוץ) (1851-1859)",manuscript,"65 דף ; 19.5X25 ס""מ..",heb,000040038,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040038,"[""מאוסף הספרייה הלאומית""]","[""אבן תבון, שמואל בן יהודה, 1150-1230. מאמר השכל; קצנלנבוגן (משפחה); יהודה ליואי בן בצלאל, 1525 בערך-1609; Philosophy -- Early works to 1800; Jews -- Czech Republic -- Mikulov (Jihomoravský kraj) -- History""]","[""מאמר השכל""]"
"Jewish sermons, Hebrew",מכנסים.,מכנסים.,,NNL01,"נפתלי הירש בן אליעזר, הכהן","תק""ע-תקע""א (1810-1811)",manuscript,138 דף ; 17.5X21.5..,heb,000040039,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040039,"[""מאוסף הספרייה הלאומית""]","[""Jewish sermons, Hebrew""]",[null]
Jewish law,חדושי הלכות.,חדושי הלכות.,,NNL01,"אייבשיץ, יהונתן בן נתן נטע, 1690 בערך-1764",1760 בערך,manuscript,"61 דף ; 16X20 ס""מ.",heb,000040040,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040040,"[""מאוסף הספרייה הלאומית""]","[""Jewish law""]",[null]
Talmud Bavli. Bezah -- Commentaries; Talmud Bavli. Shabbat -- Commentaries,"חדושים על התלמוד (ביצה, שבת).","חדושים על התלמוד (ביצה, שבת).",,NNL01,"אורבך, מרדכי בן ברוך, מגרידיץ, נפטר 1813","תקל""ו (20א)-תקל""ח (187א). (1776-1778)",manuscript,"188 דף ; 17X21 ס""מ.",heb,000040041,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040041,"[""מאוסף הספרייה הלאומית""]","[""Talmud Bavli. Bezah -- Commentaries; Talmud Bavli. Shabbat -- Commentaries""]",[null]
,תפלות שונות.,תפלות שונות.,,NNL01,,"ת""ר (1840)",manuscript,"6 דפים ; 11X15 ס""מ.; קלף.",heb,000040042,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040042,"[""מאוסף הספרייה הלאומית""]",[null],"[""ברכת הלבנה."", ""תפילת הדרך.""]"
Jewish law,סדר ברכות ארוסין וברכת המזון לנשואין.,סדר ברכות ארוסין וברכת המזון לנשואין.,,NNL01,,"מאה י""ח(?)",manuscript,"21 דף ; 5X13.7 ס""מ..; קלף ונייר.",heb,000040044,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040044,"[""מאוסף הספרייה הלאומית""]","[""Jewish law""]",[null]
,"תלמוד בבלי סדר נזיקין (סנהדרין) : מסכת סנהדרין דפים ב, א-פט, ב - העתקה מן הדפוס.","תלמוד בבלי סדר נזיקין (סנהדרין) : מסכת סנהדרין דפים ב, א-פט, ב - העתקה מן הדפוס.",,NNL01,,"מאה י""ח",manuscript,"150 דף (הדפים הראשונים פגומים. דף 150 כרוך לפני 148). ; 9X13.5 ס""מ..",heb,000040045,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040045,"[""מאוסף הספרייה הלאומית""]",[null],"[""תלמוד בבלי.""]"
Miscellaneous prayers (Jewish liturgy); Visiting the sick (Judaism) -- Liturgy -- Texts; Prayers for the dead; Jews -- Germany -- Worms -- History -- Sources; Ḥevra kaddisha -- Germany -- Worms,"תפלות לבני חברה קדישא : תפלות בני החברה-קדישא בערב ראש חודש אדר ובאירועים נוספים, ותקנות החברה.","תפלות לבני חברה קדישא : תפלות בני החברה-קדישא בערב ראש חודש אדר ובאירועים נוספים, ותקנות החברה.",,NNL01,,"תקס""ז (1807)",manuscript,"21 דף ; 11X17 ס""מ..; התפלות בכתיבה מרובעת, התקנות וההלכות בכתיבה רהוטה..",heb;yid,000040047,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040047,"[""מאוסף הספרייה הלאומית""]","[""Miscellaneous prayers (Jewish liturgy); Visiting the sick (Judaism) -- Liturgy -- Texts; Prayers for the dead; Jews -- Germany -- Worms -- History -- Sources; Ḥevra kaddisha -- Germany -- Worms""]","[""סליחות.""]"
,רשימות ביבליוגרפיות.,רשימות ביבליוגרפיות.,,NNL01,"שטרן, שלמה זלמן בן גוטליב, 1807-1883","תר""ה (1845)",manuscript,"101 דף ; 13.5X23 ס""מ..",heb,000040048,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ALEPH000040048,"[""מאוסף הספרייה הלאומית""]",[null],[null]
