description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
,Jaffa vom Meere aus.,Jaffa vom Meere aus.,,NNL01,,,image,"1 photograph : b&w, ; 98 X 158 mm..",,003484782,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003484782,"[""אוסף התצלומים, הספרייה הלאומית""]",[null],"[""מראה כללי של נמל יפו מכיוון הים."", ""[View of Jaffa port from Sea]""]"
,[יריחו].,[יריחו].,,NNL01,,,image,"1 photograph : b&w, ; 104 X 150 mm..",,003484781,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003484781,"[""אוסף התצלומים, הספרייה הלאומית""]",[null],"[""[Jericho]""]"
,עזרת נדחים.,עזרת נדחים.,,NNL01,"מולכו, חיים, צלם",,image,"1 photograph : b&w, ; 126 X 174 mm..",,003488366,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003488366,"[""אוסף התצלומים, הספרייה הלאומית""]",[null],"[""[Ezrat Nidachim Yemenite Neighbourhood next to the Old City of Jerusalem.]""]"
,קאלאניע פתח תקוה. -[Jewish Farmers of Petah Tiqwa] [picture],קאלאניע פתח תקוה. -[Jewish Farmers of Petah Tiqwa] [picture],,NNL01,,,image,1 photograph : sepia ; 100 X 138 mm..,,003765025,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003765025,"[""אוסף התצלומים, הספרייה הלאומית""]",[null],"[""[Jewish Farmers of Petah Tiqwa]""]"
Mikve Yisra'el (Israel) -- Photographs,"אחוזת הקבר של קרל נטר, מקוה ישראל.","אחוזת הקבר של קרל נטר, מקוה ישראל.",,NNL01,,,image,"1 photograph : b&w, ; 175 X 235 mm..",,003540119,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003540119,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Mikve Yisra'el (Israel) -- Photographs""]","[""[Charles Netter Tombstone in Mikve Israel]""]"
En-Zetim (Israel),[יהושע סירקין וראשוני המתיישבים בכפר עין זיתים],[יהושע סירקין וראשוני המתיישבים בכפר עין זיתים],,NNL01,,,image,"1 photograph : b&w, ; 13 X 18 cm..",,002719224,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002719224,"[""אוסף התצלומים, הספרייה הלאומית""]","[""En-Zetim (Israel)""]","[""Yehoshua Syrkin and the first pioneers of Ein Zeitim village""]"
,"[פרדס אבו רחמה, נס ציונה]","[פרדס אבו רחמה, נס ציונה]",,NNL01,"כץ, לאון צלם",,image,"1 photograph : b&w, ; 100 X 154 mm..",,003484808,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003484808,"[""אוסף התצלומים, הספרייה הלאומית""]",[null],"[""[Abu Rachma Orange Grove, Nes Ziona]""]"
Rishon Letsiyon (Israel),ראשון לציון,ראשון לציון,,NNL01,,,image,"1 photograph : b&w, sepia ; 18 X 24 cm..",,002642909,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002642909,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Rishon Letsiyon (Israel)""]","[""[Rishon le Zion]""]"
Rishon Letsiyon (Israel) -- Photographs,ועד בית העם והספריה בראשון לציון,ועד בית העם והספריה בראשון לציון,,NNL01,,,image,"1 photograph : b&w, ; 12.5 X 12 cm..",,002642707,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002642707,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Rishon Letsiyon (Israel) -- Photographs""]","[""[The library and culture house committee in Rishon le Zion]""]"
Motsa (Israel),"חנוכת בית הפועלים במוצא, ל""ג בעמר תרנ""ה","חנוכת בית הפועלים במוצא, ל""ג בעמר תרנ""ה",,NNL01,,,image,"1 photograph : b&w, ; 18 X 24 cm..",,002719238,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002719238,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Motsa (Israel)""]","[""[The Inauguration of the Worker's House in Moza""]"
