description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
ארץ ישראל,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,1858-1911,NNL01,,1858-1911,ARCHIVE,80 Photographs : b&w..,rus,003426736,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003426736,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Personal du Consulat Impérial de Russie à Jérusalem [Album of photographs].""]"
ארץ ישראל,Roma [Album of photographs].,Roma [Album of photographs].,ca. 1865-1885,NNL01,,ca. 1865-1885,ARCHIVE,100 Photographs : b&w ; 180 X 235 mm..,eng,003592242,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003592242,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""רומא [אלבום תצלומים]""]"
ארץ ישראל,Carlo Naya Views of Italy Album [Album of photographs].,Carlo Naya Views of Italy Album [Album of photographs].,ca. 1870-1880,NNL01,"Naya, Carlo, 1816-1882 1816-1882 Photographer",ca. 1870-1880,ARCHIVE,"67 Photographs : b&w, sepia ; 185 X 230 mm..",ger,003592251,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003592251,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""אלבום נופי איטליה - קרלו נאיה [אלבום תצלומים]""]"
ארץ ישראל,תמונות המומרים בירושלם הנזכרים בספר מלחמת היהודים במיסיון [אלבום תצלומים].,תמונות המומרים בירושלם הנזכרים בספר מלחמת היהודים במיסיון [אלבום תצלומים].,ca. 1875-1930,NNL01,,ca. 1875-1930,ARCHIVE,18 Photographs : b&w..,heb,003428922,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003428922,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Converted Jews of Jerusalem [Album of photographs].""]"
ארץ ישראל,אלבום משפחת שאמס [אלבום תצלומים].,אלבום משפחת שאמס [אלבום תצלומים].,ca. 1880-1950,NNL01,,ca. 1880-1950,ARCHIVE,120 Photographs : b&w..,,003429188,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003429188,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Schames Family Album [Album of photographs].""]"
ארץ ישראל,אלבום תצלומי ירושלים [אלבום תצלומים].,אלבום תצלומי ירושלים [אלבום תצלומים].,ca. 1880-1890,NNL01,,ca. 1880-1890,ARCHIVE,44 Photographs : b&w ; 19 X 26 cm..,fre,003427175,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003427175,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Jerusalem Photographs Album [Album of photographs].""]"
ארץ ישראל,אלבום ימימה ליובין-בלקינד [אלבום תצלומים].,אלבום ימימה ליובין-בלקינד [אלבום תצלומים].,1882-1920,NNL01,,1882-1920,ARCHIVE,15 Photographs : b&w..,und,003836363,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003836363,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Yemima Liubin Belkind Album [Album of photographs].""]"
ארץ ישראל,אלבום משפחה יהודית מאוסטרו-הונגריה [אלבום תצלומים].,אלבום משפחה יהודית מאוסטרו-הונגריה [אלבום תצלומים].,ca. 1885-1910,NNL01,,ca. 1885-1910,ARCHIVE,51 Photographs : b&w..,,003430167,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003430167,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Austro-Hungarian Jewish Family Album [Album of photographs].""]"
ארץ ישראל,אלבום נופי אוסטריה [אלבום תצלומים].,אלבום נופי אוסטריה [אלבום תצלומים].,ca. 1885-1895,NNL01,,ca. 1885-1895,ARCHIVE,57 Photographs : b&w ; 105 X150 mm..,ger,003592227,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003592227,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Views of Austria Album [Album of photographs].""]"
ארץ ישראל,אלבום יוליוס לנשטיין [אלבום תצלומים].,אלבום יוליוס לנשטיין [אלבום תצלומים].,1890-1926,NNL01,,1890-1926,ARCHIVE,3 Photographs : b&w..,,003861802,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003861802,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Julius Lahnstein Family Photographs [Album of photographs].""]"
ארץ ישראל,אלבומי ביקור הקיסר וילהלם השני בארץ הקודש [אלבום תצלומים].,אלבומי ביקור הקיסר וילהלם השני בארץ הקודש [אלבום תצלומים].,1898,NNL01,,1898,ARCHIVE,44 Photographs : b&w ; 19 X 26 cm..,tur,003426596,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003426596,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Kaiser Wilhelm II Visit to the Holy Land Albums [Album of photographs].""]"
ארץ ישראל,אלבומי ביקור הקיסר וילהלם השני בארץ הקודש [אלבום תצלומים].,אלבומי ביקור הקיסר וילהלם השני בארץ הקודש [אלבום תצלומים].,1898,NNL01,,1898,ARCHIVE,42 Photographs : b&w ; 19 X 26 cm..,tur,003426637,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003426637,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Kaiser Wilhelm II Visit to the Holy Land Albums [Album of photographs]""]"
ארץ ישראל,אלבומי ביקור הקיסר וילהלם השני בארץ הקודש [אלבום תצלומים].,אלבומי ביקור הקיסר וילהלם השני בארץ הקודש [אלבום תצלומים].,1898,NNL01,,1898,ARCHIVE,48 Photographs : b&w ; 19 X 26 cm..,tur,003426638,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003426638,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Kaiser Wilhelm II Visit to the Holy Land Albums [Album of photographs]""]"
ארץ ישראל,אלבומי ביקור הקיסר וילהלם השני בארץ הקודש [אלבום תצלומים].,אלבומי ביקור הקיסר וילהלם השני בארץ הקודש [אלבום תצלומים].,1898,NNL01,,1898,ARCHIVE,34 Photographs : b&w ; 19 X 26 cm..,tur,003426639,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003426639,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Kaiser Wilhelm II Visit to the Holy Land Albums [Album of photographs]""]"
ארץ ישראל,אלבום משפחת נירנשטיין [אלבום תצלומים].,אלבום משפחת נירנשטיין [אלבום תצלומים].,ca. 1900-1910,NNL01,,ca. 1900-1910,ARCHIVE,92 Photographs : b&w..,ger,003429269,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003429269,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Nirenstein Family Album [Album of photographs].""]"
ארץ ישראל,אלבום משפחת נירנשטיין [אלבום תצלומים].,אלבום משפחת נירנשטיין [אלבום תצלומים].,ca. 1900-1910,NNL01,,ca. 1900-1910,ARCHIVE,92 Photographs : b&w..,ger,003429270,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003429270,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Nirenstein Family Album [Album of photographs].""]"
ארץ ישראל,אלבום משפחת נירנשטיין [אלבום תצלומים].,אלבום משפחת נירנשטיין [אלבום תצלומים].,ca. 1900-1910,NNL01,,ca. 1900-1910,ARCHIVE,92 Photographs : b&w..,ger,003429271,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003429271,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Nirenstein Family Album [Album of photographs].""]"
ארץ ישראל,אלבום משפחת נירנשטיין [אלבום תצלומים].,אלבום משפחת נירנשטיין [אלבום תצלומים].,ca. 1900-1910,NNL01,,ca. 1900-1910,ARCHIVE,92 Photographs : b&w..,ger,003429432,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003429432,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Nirenstein Family Album [Album of photographs].""]"
ארץ ישראל,אלבום משפחת נירנשטיין [אלבום תצלומים].,אלבום משפחת נירנשטיין [אלבום תצלומים].,ca. 1906,NNL01,,ca. 1906,ARCHIVE,92 Photographs : b&w..,ger,003429449,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003429449,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Nirenstein Family Album [Album of photographs].""]"
