description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
,אלבום 1: אלבום בונפיס. -Album 1: Bonfils Album,אלבום 1: אלבום בונפיס. -Album 1: Bonfils Album,,NNL01,,,image,"69 Photographs : b&w, sepia ; 12 X 11 cm..",fre;eng,002682048,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002682048,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 1: Bonfils Album""]"
,אלבום 2: אלבום בית המצורעים. -Album 2,אלבום 2: אלבום בית המצורעים. -Album 2,,NNL01,,,image,"101 Post cards; Photographs : b&w, sepia, color ; 23 X 32 cm..",ger;eng,002682070,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002682070,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 2""]"
,אלבום 3: אלבום ארץ ישראל ודמשק 1911. -Album 3: Lewis Party Album 1911,אלבום 3: אלבום ארץ ישראל ודמשק 1911. -Album 3: Lewis Party Album 1911,,NNL01,,,image,"41 Photographs : b&w, sepia ; 9 X 14 cm..",eng,002682084,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002682084,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 3: Lewis Party Album 1911""]"
,"אלבום 4: אלבום תשלילי חליל ראאד, 1912. -Album 4: Negatives developed by Chalil Raad studio, 1912","אלבום 4: אלבום תשלילי חליל ראאד, 1912. -Album 4: Negatives developed by Chalil Raad studio, 1912",,NNL01,,,image,"53 Negatives : b&w, ; 9 X 12 cm..",eng,002683538,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002683538,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 4: Negatives developed by Chalil Raad studio, 1912""]"
,אלבום 5: אלבום תצלומי נהרים. -Album 5: Photographs of Naharayim,אלבום 5: אלבום תצלומי נהרים. -Album 5: Photographs of Naharayim,,NNL01,,,image,"21 Photographs : b&w, sepia ; 12 X 11 cm..",eng,002683558,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002683558,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 5: Photographs of Naharayim""]"
,"אלבום 6: אלבום פיורילו, 40 תצלומים. -Album 6: Album Fiorillo, 40 pictures.","אלבום 6: אלבום פיורילו, 40 תצלומים. -Album 6: Album Fiorillo, 40 pictures.",,NNL01,,,image,"40 Photographs : b&w, sepia ; 12 X 11 cm..",eng,002683564,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002683564,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 6: Album Fiorillo, 40 pictures.""]"
,אלבום 7: אלבום בונפיס וזנגקי. -Album 7: Bonfils and Zangaki Album,אלבום 7: אלבום בונפיס וזנגקי. -Album 7: Bonfils and Zangaki Album,,NNL01,,,image,"36 Photographs : b&w, sepia ; 12 X 11 cm..",eng,002683605,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002683605,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 7: Bonfils and Zangaki Album""]"
,אלבום 8: אלבום המסע לארץ ישראל ומצרים 1930. -Album 8: 1930 Resoulte Album,אלבום 8: אלבום המסע לארץ ישראל ומצרים 1930. -Album 8: 1930 Resoulte Album,,NNL01,,,image,"300 Photographs : b&w, ; 12 X 11 cm..",eng,002683614,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002683614,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 8: 1930 Resoulte Album""]"
,אלבום 9: בונפיס - ארץ ישראל. -Album 9: Souvenirs d'Orient Half Stereocard size [Bonfils].,אלבום 9: בונפיס - ארץ ישראל. -Album 9: Souvenirs d'Orient Half Stereocard size [Bonfils].,,NNL01,,,image,"30 Photographs : b&w, sepia ; 77 X 95 mm..",fre,002683645,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002683645,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 9: Souvenirs d'Orient Half Stereocard size [Bonfils].""]"
,אלבום 11: אלבום קריקוריאן - הלפרן של בקור וילהלם השני. -Album 11: Krikorian - Heilpern Album of Wilhelm II visit,אלבום 11: אלבום קריקוריאן - הלפרן של בקור וילהלם השני. -Album 11: Krikorian - Heilpern Album of Wilhelm II visit,,NNL01,,,image,25 Photographs : b&w ; 24.5 X 33 cm..,eng,002683650,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002683650,"[""הספרייה הלאומית. יוצר/ים: [יש לציין את שם היוצר/ים]. אוסף ורמן""]",[null],"[""Album 11: Krikorian - Heilpern Album of Wilhelm II visit""]"
