doc_id,system_number,manifest_url,manifest_file
NNL_ARCHIVE_AL003484782,003484782,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003484782/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/484/003484782.json
NNL_ARCHIVE_AL003484781,003484781,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003484781/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/484/003484781.json
NNL_ARCHIVE_AL003488366,003488366,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003488366/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/488/003488366.json
NNL_ARCHIVE_AL003765025,003765025,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003765025/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/765/003765025.json
NNL_ARCHIVE_AL003540119,003540119,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003540119/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/540/003540119.json
NNL_ARCHIVE_AL002719224,002719224,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002719224/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/719/002719224.json
NNL_ARCHIVE_AL003484808,003484808,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003484808/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/484/003484808.json
NNL_ARCHIVE_AL002642909,002642909,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002642909/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/642/002642909.json
NNL_ARCHIVE_AL002642707,002642707,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002642707/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/642/002642707.json
NNL_ARCHIVE_AL002719238,002719238,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002719238/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/719/002719238.json
NNL_ARCHIVE_AL003574987,003574987,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003574987/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/574/003574987.json
NNL_ARCHIVE_AL003484847,003484847,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003484847/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/484/003484847.json
NNL_ARCHIVE_AL003484850,003484850,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003484850/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/484/003484850.json
NNL_ARCHIVE_AL003484894,003484894,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003484894/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/484/003484894.json
NNL_ARCHIVE_AL003484903,003484903,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL003484903/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/003/484/003484903.json
