doc_id,system_number,manifest_url,manifest_file
NNL01_TMA003426736,003426736,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003426736/manifest,data/cache/manifest-files/NNL01/TMA/003/426/003426736.json
NNL01_TMA003592242,003592242,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003592242/manifest,data/cache/manifest-files/NNL01/TMA/003/592/003592242.json
NNL01_TMA003592251,003592251,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003592251/manifest,data/cache/manifest-files/NNL01/TMA/003/592/003592251.json
NNL01_TMA003428922,003428922,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003428922/manifest,data/cache/manifest-files/NNL01/TMA/003/428/003428922.json
NNL01_TMA003429188,003429188,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003429188/manifest,data/cache/manifest-files/NNL01/TMA/003/429/003429188.json
NNL01_TMA003427175,003427175,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003427175/manifest,data/cache/manifest-files/NNL01/TMA/003/427/003427175.json
NNL01_TMA003836363,003836363,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003836363/manifest,data/cache/manifest-files/NNL01/TMA/003/836/003836363.json
NNL01_TMA003430167,003430167,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003430167/manifest,data/cache/manifest-files/NNL01/TMA/003/430/003430167.json
NNL01_TMA003592227,003592227,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003592227/manifest,data/cache/manifest-files/NNL01/TMA/003/592/003592227.json
NNL01_TMA003861802,003861802,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003861802/manifest,data/cache/manifest-files/NNL01/TMA/003/861/003861802.json
NNL01_TMA003426596,003426596,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003426596/manifest,data/cache/manifest-files/NNL01/TMA/003/426/003426596.json
NNL01_TMA003426637,003426637,http://iiif.nli.org.il/IIIFv21/DOCID/NNL01_TMA003426637/manifest,data/cache/manifest-files/NNL01/TMA/003/426/003426637.json
