doc_id,system_number,manifest_url,manifest_file
NNL_ARCHIVE_AL002682048,002682048,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002682048/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/682/002682048.json
NNL_ARCHIVE_AL002682070,002682070,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002682070/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/682/002682070.json
NNL_ARCHIVE_AL002682084,002682084,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002682084/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/682/002682084.json
NNL_ARCHIVE_AL002683538,002683538,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683538/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/683/002683538.json
NNL_ARCHIVE_AL002683558,002683558,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683558/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/683/002683558.json
NNL_ARCHIVE_AL002683564,002683564,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683564/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/683/002683564.json
NNL_ARCHIVE_AL002683605,002683605,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683605/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/683/002683605.json
NNL_ARCHIVE_AL002683614,002683614,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683614/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/683/002683614.json
NNL_ARCHIVE_AL002683645,002683645,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683645/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/683/002683645.json
NNL_ARCHIVE_AL002683650,002683650,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683650/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/683/002683650.json
NNL_ARCHIVE_AL002683826,002683826,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683826/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/683/002683826.json
NNL_ARCHIVE_AL002683884,002683884,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683884/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/683/002683884.json
NNL_ARCHIVE_AL002683905,002683905,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683905/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/683/002683905.json
NNL_ARCHIVE_AL002683908,002683908,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683908/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/683/002683908.json
NNL_ARCHIVE_AL002683911,002683911,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_ARCHIVE_AL002683911/manifest,data/cache/manifest-files/NNL/ARCHIVE/AL/002/683/002683911.json
