manifest_label,manifest_sysnum,sequence_id,sequence_label,canvas_id,canvas_label,id,type,motivation,resource_id,resource_type,resource_format,resource_width,resource_height,canvas_width,canvas_height
مباراة نهائية - نادي الاتحاد الرياضي الادبي.,700072313,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700072313/sequence/IE4070039,EphemeraArab,http://iiif.nli.org.il/IIIFv21/FL4378734,رياضة.,FL4378734,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL4378734/full/max/0/default.jpg,dctypes:Image,image/jpeg;,534,800,534,800
בל סהרוריה.,700109393,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109393/sequence/IE5018599,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5387961,אוסף הספרייה הלאומית,FL5387961,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5387961/full/max/0/default.jpg,dctypes:Image,image/jpeg;,535,800,535,800
נשף אמנותי התעמלותי לנער.,700109402,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109402/sequence/IE5018641,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5387989,אוסף הספרייה הלאומית,FL5387989,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5387989/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,603,800,603
נשף רקודים גדול,700109482,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109482/sequence/IE5027407,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5394982,אוסף הספרייה הלאומית,FL5394982,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5394982/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,406,800,406
נשף רקודים גרנדיוזי,700109506,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109506/sequence/IE5019283,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5388674,אוסף הספרייה הלאומית,FL5388674,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5388674/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,586,800,586
תזמורת ג'ז - תלוה את הרקודים - בנשף הקיצי הגדול של המכבי,700109533,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109533/sequence/IE5019418,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5388902,אוסף הספרייה הלאומית,FL5388902,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5388902/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,603,800,603
נשף רקודים,700109543,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109543/sequence/IE5019439,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5388487,אוסף הספרייה הלאומית,FL5388487,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5388487/full/max/0/default.jpg,dctypes:Image,image/jpeg;,604,800,604,800
נשף רקודים - השנתי המסורתי,700109549,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109549/sequence/IE5028030,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5395655,אוסף הספרייה הלאומית,FL5395655,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5395655/full/max/0/default.jpg,dctypes:Image,image/jpeg;,524,800,524,800
נשף רקודים,700109557,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109557/sequence/IE5019475,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5388574,אוסף הספרייה הלאומית,FL5388574,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5388574/full/max/0/default.jpg,dctypes:Image,image/jpeg;,592,800,592,800
נשף רקודים גרנדיוזי,700109558,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109558/sequence/IE5019490,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5388609,אוסף הספרייה הלאומית,FL5388609,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5388609/full/max/0/default.jpg,dctypes:Image,image/jpeg;,524,800,524,800
נשף רקודים של העונה,700109577,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109577/sequence/IE5028502,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5395835,אוסף הספרייה הלאומית,FL5395835,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5395835/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,607,800,607
נשף אביבי גדול,700109579,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109579/sequence/IE5028544,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5395883,אוסף הספרייה הלאומית,FL5395883,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5395883/full/max/0/default.jpg,dctypes:Image,image/jpeg;,520,800,520,800
תערוכת אמנות המזרח הרחוק.,700109692,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109692/sequence/IE5029234,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5396441,אוסף הספרייה הלאומית,FL5396441,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5396441/full/max/0/default.jpg,dctypes:Image,image/jpeg;,343,800,343,800
האמן העברי יוסף בודקו,700109694,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109694/sequence/IE5029240,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5396445,אוסף הספרייה הלאומית,FL5396445,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5396445/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,630,800,630
ידי אדם,700109695,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109695/sequence/IE5029243,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5396447,אוסף הספרייה הלאומית,FL5396447,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5396447/full/max/0/default.jpg,dctypes:Image,image/jpeg;,559,800,559,800
תערוכת ליטבינובסקי,700109696,http://iiif.nli.org.il/IIIFv21/NNL_Ephemera700109696/sequence/IE5029246,אוסף הספרייה הלאומית,http://iiif.nli.org.il/IIIFv21/FL5396449,אוסף הספרייה הלאומית,FL5396449,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL5396449/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,565,800,565
