manifest_label,manifest_sysnum,sequence_id,sequence_label,canvas_id,canvas_label,id,type,motivation,resource_id,resource_type,resource_format,resource_width,resource_height,canvas_width,canvas_height
"כתובה. ישראל. ד'תשפ""ד.",000300590,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300590/sequence/IE9202518,"[כתובה. ארץ ישראל, ד&apos;תשפ&quot;ד].",http://iiif.nli.org.il/IIIFv21/FL9465307,[כתובה. ארץ ישראל; ד&apos;תשפד].,FL9465307,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9465307/full/max/0/default.jpg,dctypes:Image,image/jpeg;,463,800,463,800
"כתובה. צור, לבנון. ד'תשפ""ג.",002545680,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH002545680/sequence/IE9285073,כתובה. צור. 1023.,http://iiif.nli.org.il/IIIFv21/FL9695109,Page 1,FL9695109,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9695109/full/max/0/default.jpg,dctypes:Image,image/jpeg;,4968,8576,4968,8576
"כתובה. צור, לבנון. ד'תשפ""ג.",002545680,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH002545680/sequence/IE9285073,כתובה. צור. 1023.,http://iiif.nli.org.il/IIIFv21/FL9695110,Page 2,FL9695110,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9695110/full/max/0/default.jpg,dctypes:Image,image/jpeg;,5336,8520,5336,8520
"כתובה. סטניסלב, אוקראינה. תרצ""ז.",000300532,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300532/sequence/IE9197424,"[כתובה. סטניסלאב, אוקראינה, תרצ&quot;ז]",http://iiif.nli.org.il/IIIFv21/FL9463926,[כתובה. סטניסלאב; אוקראינה; תרצז],FL9463926,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9463926/full/max/0/default.jpg,dctypes:Image,image/jpeg;,595,800,595,800
"כתובה. משהד, איראן. 1904.",000300572,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300572/sequence/IE10509848,"[כתובה. משהד, איראן, תרס""ג]",http://iiif.nli.org.il/IIIFv21/FL10512950,Page 1,FL10512950,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL10512950/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,611,800,611
"כתובה. משהד, איראן. 1904.",000300572,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300572/sequence/IE10509848,"[כתובה. משהד, איראן, תרס""ג]",http://iiif.nli.org.il/IIIFv21/FL10512951,Page 2,FL10512951,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL10512951/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,611,800,611
"כתובה. משהד, איראן. 1904.",000300572,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300572/sequence/IE10509848,"[כתובה. משהד, איראן, תרס""ג]",http://iiif.nli.org.il/IIIFv21/FL10512953,Page 3,FL10512953,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL10512953/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,611,800,611
"כתובה. משהד, איראן. 1904.",000300572,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300572/sequence/IE10509848,"[כתובה. משהד, איראן, תרס""ג]",http://iiif.nli.org.il/IIIFv21/FL10512952,Page 4,FL10512952,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL10512952/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,611,800,611
"כתובה. משהד, איראן. 1921.",000301029,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000301029/sequence/IE9200524,"[כתובה. משהד, איראן, תרפ&quot;א]",http://iiif.nli.org.il/IIIFv21/FL9462506,[כתובה. משהד; איראן; תרפא],FL9462506,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL9462506/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,355,800,355
"כתובה. משהד, איראן. 1924.",000300794,http://iiif.nli.org.il/IIIFv21/NNL_ALEPH000300794/sequence/IE10509164,"[כתובה. משהד, איראן, תרפ""ד]",http://iiif.nli.org.il/IIIFv21/FL10512879,Page 1,FL10512879,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL10512879/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,646,800,646
