manifest_label,manifest_sysnum,sequence_id,sequence_label,canvas_id,canvas_label,id,type,motivation,resource_id,resource_type,resource_format,resource_width,resource_height,canvas_width,canvas_height
Jaffa vom Meere aus.,003484782,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL003484782/sequence/IE19145664,Jaffa vom Meere aus.,http://iiif.nli.org.il/IIIFv21/FL19168286,003484782-R,FL19168286,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL19168286/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,521,800,521
Jaffa vom Meere aus.,003484782,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL003484782/sequence/IE19145664,Jaffa vom Meere aus.,http://iiif.nli.org.il/IIIFv21/FL19168288,003484782-V,FL19168288,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL19168288/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,519,800,519
[יריחו].,003484781,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL003484781/sequence/IE19145656,[יריחו].,http://iiif.nli.org.il/IIIFv21/FL19168312,003484781-R,FL19168312,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL19168312/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,551,800,551
[יריחו].,003484781,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL003484781/sequence/IE19145656,[יריחו].,http://iiif.nli.org.il/IIIFv21/FL19168313,003484781-V,FL19168313,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL19168313/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,548,800,548
עזרת נדחים.,003488366,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL003488366/sequence/IE19145176,עזרת נדחים.,http://iiif.nli.org.il/IIIFv21/FL19166594,003488366-R,FL19166594,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL19166594/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,567,800,567
עזרת נדחים.,003488366,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL003488366/sequence/IE19145176,עזרת נדחים.,http://iiif.nli.org.il/IIIFv21/FL19166587,003488366-V,FL19166587,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL19166587/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,569,800,569
קאלאניע פתח תקוה. -[Jewish Farmers of Petah Tiqwa] [picture],003765025,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL003765025/sequence/IE38045750,קאלאניע פתח תקוה.,http://iiif.nli.org.il/IIIFv21/FL38048322,3765025-10_0001_R,FL38048322,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL38048322/full/max/0/default.jpg,dctypes:Image,image/jpeg;,3952,2614,3952,2614
קאלאניע פתח תקוה. -[Jewish Farmers of Petah Tiqwa] [picture],003765025,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL003765025/sequence/IE38045750,קאלאניע פתח תקוה.,http://iiif.nli.org.il/IIIFv21/FL38048321,3765025-10_0001_V,FL38048321,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL38048321/full/max/0/default.jpg,dctypes:Image,image/jpeg;,3952,2637,3952,2637
"אחוזת הקבר של קרל נטר, מקוה ישראל.",003540119,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL003540119/sequence/IE19145764,אחוזת הקבר של קרל נטר  מקוה ישראל.,http://iiif.nli.org.il/IIIFv21/FL19168005,003540119-R,FL19168005,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL19168005/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,660,800,660
"אחוזת הקבר של קרל נטר, מקוה ישראל.",003540119,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL003540119/sequence/IE19145764,אחוזת הקבר של קרל נטר  מקוה ישראל.,http://iiif.nli.org.il/IIIFv21/FL19168007,003540119-V,FL19168007,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL19168007/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,659,800,659
