manifest_label,manifest_sysnum,sequence_id,sequence_label,canvas_id,canvas_label,id,type,motivation,resource_id,resource_type,resource_format,resource_width,resource_height,canvas_width,canvas_height
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434111,Front Cover,FL7434111,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434111/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,484,800,484
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434095,Inner Front Cover,FL7434095,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434095/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,499,800,499
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434107,Page 1,FL7434107,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434107/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,519,800,519
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434094,Page 2,FL7434094,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434094/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,490,800,490
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434091,Page 3,FL7434091,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434091/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,509,800,509
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434097,Page 4,FL7434097,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434097/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,518,800,518
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434089,Page 5,FL7434089,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434089/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,524,800,524
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434109,Page 6,FL7434109,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434109/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,500,800,500
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434108,Page 7,FL7434108,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434108/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,500,800,500
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434112,Page 8,FL7434112,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434112/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,506,800,506
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434113,Page 9,FL7434113,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434113/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,508,800,508
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434110,Page 10,FL7434110,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434110/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,507,800,507
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434105,Page 11,FL7434105,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434105/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,496,800,496
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434090,Page 12,FL7434090,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434090/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,511,800,511
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434088,Page 13,FL7434088,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434088/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,506,800,506
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434104,Page 14,FL7434104,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434104/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,508,800,508
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434102,Page 15,FL7434102,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434102/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,523,800,523
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434098,Page 16,FL7434098,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434098/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,510,800,510
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434103,Page 17,FL7434103,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434103/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,511,800,511
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434099,Page 18,FL7434099,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434099/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,506,800,506
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434093,Page 19,FL7434093,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434093/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,507,800,507
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434101,Page 20,FL7434101,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434101/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,504,800,504
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434087,Page 21,FL7434087,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434087/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,506,800,506
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434106,Page 22,FL7434106,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434106/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,516,800,516
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434100,Page 23,FL7434100,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434100/full/max/0/default.jpg,dctypes:Image,image/jpeg;,509,800,509,800
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434096,Inner Back Cover,FL7434096,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434096/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,509,800,509
אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,003426736,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003426736/sequence/IE7430304,אלבום סגל הקונסוליה הרוסית בירושלים [אלבום תצלומים].,http://iiif.nli.org.il/IIIFv21/FL7434092,Back Cover,FL7434092,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7434092/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,488,800,488
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746001,003592242-1,FL23746001,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746001/full/max/0/default.jpg,dctypes:Image,image/jpeg;,654,800,654,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746003,003592242-2,FL23746003,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746003/full/max/0/default.jpg,dctypes:Image,image/jpeg;,635,800,635,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746002,003592242-3,FL23746002,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746002/full/max/0/default.jpg,dctypes:Image,image/jpeg;,618,800,618,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23745965,003592242-4,FL23745965,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23745965/full/max/0/default.jpg,dctypes:Image,image/jpeg;,633,800,633,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746062,003592242-5,FL23746062,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746062/full/max/0/default.jpg,dctypes:Image,image/jpeg;,623,800,623,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746038,003592242-6,FL23746038,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746038/full/max/0/default.jpg,dctypes:Image,image/jpeg;,625,800,625,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746023,003592242-7,FL23746023,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746023/full/max/0/default.jpg,dctypes:Image,image/jpeg;,591,800,591,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746020,003592242-8,FL23746020,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746020/full/max/0/default.jpg,dctypes:Image,image/jpeg;,608,800,608,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23745986,003592242-9,FL23745986,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23745986/full/max/0/default.jpg,dctypes:Image,image/jpeg;,610,800,610,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746068,003592242-10,FL23746068,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746068/full/max/0/default.jpg,dctypes:Image,image/jpeg;,612,800,612,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23745975,003592242-11,FL23745975,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23745975/full/max/0/default.jpg,dctypes:Image,image/jpeg;,591,800,591,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746047,003592242-12,FL23746047,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746047/full/max/0/default.jpg,dctypes:Image,image/jpeg;,610,800,610,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746017,003592242-13,FL23746017,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746017/full/max/0/default.jpg,dctypes:Image,image/jpeg;,578,800,578,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746022,003592242-14,FL23746022,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746022/full/max/0/default.jpg,dctypes:Image,image/jpeg;,570,800,570,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23745980,003592242-15,FL23745980,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23745980/full/max/0/default.jpg,dctypes:Image,image/jpeg;,588,800,588,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746036,003592242-16,FL23746036,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746036/full/max/0/default.jpg,dctypes:Image,image/jpeg;,583,800,583,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746052,003592242-17,FL23746052,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746052/full/max/0/default.jpg,dctypes:Image,image/jpeg;,584,800,584,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23746004,003592242-18,FL23746004,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23746004/full/max/0/default.jpg,dctypes:Image,image/jpeg;,552,800,552,800
Roma [Album of photographs].,003592242,http://iiif.nli.org.il/IIIFv21/NNL01_TMA003592242/sequence/IE23603083,Roma [Album of photographs].,http://iiif.nli.org.il/IIIFv21/FL23745991,003592242-19,FL23745991,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL23745991/full/max/0/default.jpg,dctypes:Image,image/jpeg;,582,800,582,800
