manifest_label,manifest_sysnum,sequence_id,sequence_label,canvas_id,canvas_label,id,type,motivation,resource_id,resource_type,resource_format,resource_width,resource_height,canvas_width,canvas_height
אלבום 1: אלבום בונפיס. -Album 1: Bonfils Album,002682048,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL002682048/sequence/IE7516358,אלבום 1: אלבום בונפיס.,http://iiif.nli.org.il/IIIFv21/FL7665005,Cover page,FL7665005,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7665005/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,583,800,583
אלבום 1: אלבום בונפיס. -Album 1: Bonfils Album,002682048,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL002682048/sequence/IE7516358,אלבום 1: אלבום בונפיס.,http://iiif.nli.org.il/IIIFv21/FL7665011,Inner cover page,FL7665011,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7665011/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,644,800,644
אלבום 1: אלבום בונפיס. -Album 1: Bonfils Album,002682048,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL002682048/sequence/IE7516358,אלבום 1: אלבום בונפיס.,http://iiif.nli.org.il/IIIFv21/FL7665036,Page 1,FL7665036,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7665036/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,645,800,645
אלבום 1: אלבום בונפיס. -Album 1: Bonfils Album,002682048,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL002682048/sequence/IE7516358,אלבום 1: אלבום בונפיס.,http://iiif.nli.org.il/IIIFv21/FL7665061,Page 2,FL7665061,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7665061/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,643,800,643
אלבום 1: אלבום בונפיס. -Album 1: Bonfils Album,002682048,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL002682048/sequence/IE7516358,אלבום 1: אלבום בונפיס.,http://iiif.nli.org.il/IIIFv21/FL7665063,Page 3,FL7665063,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7665063/full/max/0/default.jpg,dctypes:Image,image/jpeg;,645,800,645,800
אלבום 1: אלבום בונפיס. -Album 1: Bonfils Album,002682048,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL002682048/sequence/IE7516358,אלבום 1: אלבום בונפיס.,http://iiif.nli.org.il/IIIFv21/FL7665001,Page 4,FL7665001,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7665001/full/max/0/default.jpg,dctypes:Image,image/jpeg;,641,800,641,800
אלבום 1: אלבום בונפיס. -Album 1: Bonfils Album,002682048,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL002682048/sequence/IE7516358,אלבום 1: אלבום בונפיס.,http://iiif.nli.org.il/IIIFv21/FL7665055,Page 5,FL7665055,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7665055/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,647,800,647
אלבום 1: אלבום בונפיס. -Album 1: Bonfils Album,002682048,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL002682048/sequence/IE7516358,אלבום 1: אלבום בונפיס.,http://iiif.nli.org.il/IIIFv21/FL7665056,Page 6,FL7665056,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7665056/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,647,800,647
אלבום 1: אלבום בונפיס. -Album 1: Bonfils Album,002682048,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL002682048/sequence/IE7516358,אלבום 1: אלבום בונפיס.,http://iiif.nli.org.il/IIIFv21/FL7665014,Page 7,FL7665014,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7665014/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,648,800,648
אלבום 1: אלבום בונפיס. -Album 1: Bonfils Album,002682048,http://iiif.nli.org.il/IIIFv21/NNL_ARCHIVE_AL002682048/sequence/IE7516358,אלבום 1: אלבום בונפיס.,http://iiif.nli.org.il/IIIFv21/FL7665050,Page 8,FL7665050,oa:Annotation,sc:painting,http://iiif.nli.org.il/IIIFv21/FL7665050/full/max/0/default.jpg,dctypes:Image,image/jpeg;,800,647,800,647
