collection: Descending,language: Descending,Count
maps,eng,2189
maps,lat,1608
maps,fre,1061
maps,ger,652
maps,heb,546
manuscripts,heb,4334
manuscripts,per,201
manuscripts,ara,177
manuscripts,heb;jrb,168
manuscripts,heb;ara,134
kettubot,heb,1594
kettubot,per,9
kettubot,heb;jrb,4
kettubot,heb;eng,3
kettubot,heb;jpr,2
ephemera,heb,1014
ephemera,heb;eng,89
ephemera,heb;ger,24
ephemera,yid,21
ephemera,heb;eng;ara,3
tm,fre;spa;ger;ita,1
tm,heb;eng,1
tm,heb;ger,1
wahrman,eng,47
wahrman,fre,18
wahrman,ger,8
wahrman,fre;eng,4
wahrman,rus,2
tma,heb,34
tma,ger,12
tma,eng,10
tma,tur,4
tma,fre,3
